ID,timestamp,temperature,humidity,timediff
5353,2014-12-09 00:01:00,23.54,36.31,0
5354,2014-12-09 00:12:00,23.22,36.15,11
5355,2014-12-09 00:22:00,23.54,35.84,10
5357,2014-12-09 00:42:00,23.22,35.99,10
5358,2014-12-09 00:53:00,23.22,35.84,11
5359,2014-12-09 01:03:00,23.22,36.47,10
5360,2014-12-09 01:13:00,23.54,35.68,10
5361,2014-12-09 01:24:00,23.22,,11
5363,2014-12-09 01:44:00,23.54,,10
5364,2014-12-09 01:54:00,23.54,36.47,10
5365,2014-12-09 02:05:00,23.54,35.99,11
5366,2014-12-09 02:15:00,23.22,35.68,10
5367,2014-12-09 02:25:00,23.22,35.68,10
5368,2014-12-09 02:35:00,23.22,35.36,10
5369,2014-12-09 02:46:00,23.22,35.84,11
5370,2014-12-09 02:56:00,23.22,36.31,10
5371,2014-12-09 03:06:00,22.9,36.62,10
5372,2014-12-09 03:16:00,22.9,36.15,10
5373,2014-12-09 03:27:00,22.9,36.47,11
5374,2014-12-09 03:37:00,22.58,36.47,10
5375,2014-12-09 03:47:00,22.9,36.31,10
5376,2014-12-09 03:58:00,22.25,36.62,11
5377,2014-12-09 04:08:00,22.58,36.94,10
5378,2014-12-09 04:18:00,23.22,35.99,10
5379,2014-12-09 04:28:00,23.22,36.62,10
5380,2014-12-09 04:39:00,,36.62,11
5381,2014-12-09 04:49:00,23.22,36.31,10
5383,2014-12-09 05:09:00,22.9,36.62,10
5384,2014-12-09 05:20:00,23.22,36.62,11
5385,2014-12-09 05:30:00,23.54,36.31,10
5386,2014-12-09 05:40:00,23.22,36.94,10
5387,2014-12-09 05:50:00,23.22,35.99,10
5388,2014-12-09 06:01:00,22.25,36.62,11
5389,2014-12-09 06:11:00,22.58,36.94,10
5390,2014-12-09 06:21:00,22.9,37.41,10
5391,2014-12-09 06:32:00,22.9,36.78,11
5392,2014-12-09 06:42:00,22.9,37.1,10
5393,2014-12-09 06:52:00,22.9,37.1,10
5394,2014-12-09 07:02:00,22.58,36.78,10
5395,2014-12-09 07:13:00,,37.41,11
5396,2014-12-09 07:23:00,23.22,37.25,10
5397,2014-12-09 07:33:00,22.9,37.57,10
5398,2014-12-09 07:43:00,22.9,37.73,10
5399,2014-12-09 07:54:00,22.58,37.41,11
5400,2014-12-09 08:04:00,22.58,36.62,10
5402,2014-12-09 08:24:00,22.9,37.1,10
5403,2014-12-09 08:35:00,22.9,36.94,11
5404,2014-12-09 08:45:00,22.9,36.94,10
5405,2014-12-09 08:55:00,22.9,36.78,10
5406,2014-12-09 09:06:00,22.9,37.1,11
