ID,timestamp,X1,X2,X5,X7,X8
5353,11521,25.16,23.54,23.87,23.22,23.54
1368,11521,25.16,23.54,23.87,23.22,23.54
2622,11521,25.16,23.54,23.87,23.22,23.54
3990,11521,25.16,23.54,23.87,23.22,23.54
1,11523,25.16,23.54,23.87,23.22,23.54
1369,11531,24.83,23.54,23.54,22.9,23.22
3991,11531,24.83,23.54,23.54,22.9,23.22
2623,11531,24.83,23.54,23.54,22.9,23.22
5354,11532,24.83,23.54,23.54,22.9,23.22
2,11533,24.83,23.54,23.54,22.9,23.22
2624,11541,24.83,23.54,23.54,22.58,23.54
1370,11541,24.83,23.54,23.54,22.58,23.54
3992,11541,24.83,23.54,23.54,22.58,23.54
5355,11542,24.83,23.54,23.54,22.58,23.54
3,11543,24.83,23.54,23.54,22.58,23.54
1371,11552,24.83,23.54,23.54,22.9,23.54
5356,11552,24.83,23.54,23.54,22.9,23.54
3993,11552,24.83,23.54,23.54,22.9,23.54
2625,11552,24.83,23.54,23.54,22.9,23.54
4,11553,24.83,23.54,23.54,22.9,23.54
2626,11562,24.83,22.9,23.54,22.9,23.22
5357,11562,24.83,22.9,23.54,22.9,23.22
3994,11562,24.83,22.9,23.54,22.9,23.22
1372,11562,24.83,22.9,23.54,22.9,23.22
5,11564,24.83,22.9,23.54,22.9,23.22
3995,11572,24.51,23.22,23.54,23.22,23.22
1373,11572,24.51,23.22,23.54,23.22,23.22
2627,11572,24.51,23.22,23.54,23.22,23.22
5358,11573,24.51,23.22,23.54,23.22,23.22
6,11574,24.51,23.22,23.54,23.22,23.22
3996,11582,24.19,23.54,23.54,23.22,23.22
2628,11582,24.19,23.54,23.54,23.22,23.22
1374,11582,24.19,23.54,23.54,23.22,23.22
5359,11583,24.19,23.54,23.54,23.22,23.22
7,11584,24.19,23.54,23.54,23.22,23.22
1375,11593,24.19,23.54,23.54,22.9,23.54
3997,11593,24.19,23.54,23.54,22.9,23.54
2629,11593,24.19,23.54,23.54,22.9,23.54
5360,11593,24.19,23.54,23.54,22.9,23.54
8,11594,24.19,23.54,23.54,22.9,23.54
2630,11603,24.19,23.22,23.54,,23.22
3998,11603,24.19,23.22,23.54,,23.22
1376,11603,24.19,23.22,23.54,,23.22
5361,11604,24.19,23.22,23.54,,23.22
9,11605,24.19,23.22,23.54,,23.22
1377,11613,24.19,23.54,23.54,23.22,23.54
3999,11613,24.19,23.54,23.54,23.22,23.54
2631,11613,24.19,23.54,23.54,23.22,23.54
5362,11614,24.19,23.54,23.54,23.22,23.54
10,11615,24.19,23.54,23.54,23.22,23.54
4000,11623,23.87,23.22,23.54,23.22,23.54
2632,11623,23.87,23.22,23.54,23.22,23.54
1378,11623,23.87,23.22,23.54,23.22,23.54
5363,11624,23.87,23.22,23.54,23.22,23.54
11,11625,23.87,23.22,23.54,23.22,23.54
5364,11634,23.87,23.22,23.22,23.22,23.54
1379,11634,23.87,23.22,23.22,23.22,23.54
2633,11634,23.87,23.22,23.22,23.22,23.54
4001,11634,23.87,23.22,23.22,23.22,23.54
12,11636,23.87,23.22,23.22,23.22,23.54
2634,11644,23.87,23.54,23.54,23.22,23.54
4002,11644,23.87,23.54,23.54,23.22,23.54
1380,11644,23.87,23.54,23.54,23.22,23.54
5365,11645,23.87,23.54,23.54,23.22,23.54
13,11646,23.87,23.54,23.54,23.22,23.54
1381,11654,23.87,23.22,23.54,,23.22
4003,11654,23.87,23.22,23.54,,23.22
2635,11654,23.87,23.22,23.54,,23.22
5366,11655,23.87,23.22,23.54,,23.22
14,11656,23.87,23.22,23.54,,23.22
2636,11665,23.87,23.22,23.22,23.22,23.22
1382,11665,23.87,23.22,23.22,23.22,23.22
5367,11665,23.87,23.22,23.22,23.22,23.22
4004,11665,23.87,23.22,23.22,23.22,23.22
15,11666,23.87,23.22,23.22,23.22,23.22
1383,11675,23.54,23.22,23.22,22.58,23.22
4005,11675,23.54,23.22,23.22,22.58,23.22
2637,11675,23.54,23.22,23.22,22.58,23.22
5368,11675,23.54,23.22,23.22,22.58,23.22
16,11677,23.54,23.22,23.22,22.58,23.22
