Actual
24.19
23.87
23.54
37.1
37.25
22.9
36.94
23.87
36.47
38.99
42.14
42.3
42.46
22.9
41.51
11.4
19.67
20.96
11.93
12.25
22.25
27.79
23.87
23.54
34.1
45.77
10.32
25.9
24.51
30.32
48.76
49.39
10.64
10.0
33.0
31.89
15.48
66.58
29.35
35.05
28.9
32.9
36.45
27.09
32.527
24.83
51.447
60.597
62.487
61.537
60.757
23.87
22.9
21.61
21.61
54.757
18.7
19.35
19.35
20.64
43.257
22.9
56.497
52.397
49.397
12.58
25.8
19.67
16.12
16.12
68.63
54.6
20.32
47.19
18.38
15.8
68.63
17.74
55.23
15.48
23.22
30.79
22.58
33.0
31.74
22.25
31.42
31.42
23.54
23.22
22.25
22.9
21.61
12.82
35.2
11.93
45.3
11.29
10.64
50.02
14.83
22.9
18.06
33.79
34.73
36.94
14.19
12.9
11.29
10.0
10.0
50.02
23.87
14.51
43.09
13.54
49.08
10.64
10.32
19.67
18.38
16.77
51.6
67.84
18.38
30.64
33.22
37.737
17.74
17.41
16.77
16.12
61.857
22.9
53.817
55.547
56.657
72.417
72.417
21.29
48.137
45.937
16.45
53.657
52.717
57.917
12.58
16.45
60.9
60.59
19.03
22.25
62.95
61.53
67.21
64.37
71.47
16.12
16.45
59.01
38.52
22.25
22.25
23.22
41.35
22.9
42.61
22.58
42.3
36.94
40.09
15.16
15.48
29.84
36.47
37.57
15.48
52.07
54.44
11.93
50.18
21.29
22.58
18.06
17.09
55.39
15.16
14.51
12.25
23.87
23.22
47.03
49.39
54.12
16.12
13.22
30.0
43.257
62.017
62.487
17.41
60.437
20.64
52.717
54.447
54.287
21.93
22.58
20.96
20.0
74.157
43.097
46.877
23.54
18.38
17.74
51.927
16.77
16.77
16.45
16.12
62.957
50.66
23.22
54.6
20.64
17.74
64.21
18.7
69.1
63.58
59.96
55.54
57.91
67.68
72.26
17.09
73.04
17.09
62.48
35.52
37.25
36.47
21.93
21.93
36.47
36.94
41.2
22.58
41.83
42.14
50.34
14.19
38.04
38.36
13.22
44.82
16.45
33.47
22.25
24.01
22.58
23.38
16.77
13.54
46.71
11.61
49.24
23.54
21.65
13.54
14.19
50.66
43.88
12.9
30.79
22.9
63.58
12.58
46.56
29.67
29.697
18.7
62.327
16.77
16.45
16.45
19.35
21.29
50.187
22.9
21.61
61.387
67.217
62.017
21.29
19.35
68.947
69.107
22.9
52.717
17.41
52.717
15.48
43.88
19.67
17.41
15.8
66.42
61.53
23.22
54.44
21.93
21.61
16.12
72.1
15.8
15.8
15.48
60.12
35.68
35.52
23.22
23.22
36.15
22.25
36.15
36.94
22.25
36.78
22.58
23.54
41.04
41.83
22.58
41.67
8.403
21.29
17.09
15.48
13.87
12.25
21.8
19.35
22.91
30.16
14.51
11.93
27.01
22.9
15.16
16.12
43.09
13.87
47.19
31.26
31.89
19.03
46.08
45.61
15.48
14.83
11.93
39.93
28.7
29.35
53.817
17.74
53.187
55.707
17.09
21.93
21.93
20.0
40.097
40.257
41.047
20.96
54.287
17.09
47.347
46.567
15.8
41.207
43.887
45.93
20.0
50.34
17.41
57.91
18.7
20.32
52.71
53.97
59.8
18.06
62.95
15.8
17.09
16.77
