ID,timestamp,temperature,humidity
2378,2015-01-05 02:57:00,21.93,46.87
2379,2015-01-05 03:07:00,21.93,48.29
2380,2015-01-05 03:18:00,22.58,43.56
2382,2015-01-05 03:48:00,22.58,45.3
2383,2015-01-05 03:59:00,22.25,45.3
2384,2015-01-05 04:19:00,23.87,43.56
2385,2015-01-05 04:30:00,23.22,44.98
2386,2015-01-05 04:40:00,21.93,45.93
2387,2015-01-05 04:50:00,23.22,45.77
2388,2015-01-05 05:31:00,22.58,46.24
2389,2015-01-05 05:41:00,21.93,47.98
2390,2015-01-05 05:52:00,23.54,46.87
2391,2015-01-05 06:02:00,22.9,48.29
2392,2015-01-05 06:12:00,23.87,46.87
2393,2015-01-05 06:22:00,22.58,48.61
2394,2015-01-05 06:33:00,21.61,49.08
2395,2015-01-05 06:43:00,21.29,50.81
2396,2015-01-05 06:53:00,21.93,49.71
2397,2015-01-05 07:03:00,21.61,49.39
2398,2015-01-05 07:14:00,19.35,51.76
2399,2015-01-05 07:24:00,19.03,52.55
2400,2015-01-05 07:34:00,19.35,52.71
2401,2015-01-05 07:45:00,19.03,53.34
2402,2015-01-05 07:55:00,19.03,50.02
2403,2015-01-05 08:05:00,19.03,50.5
2404,2015-01-05 08:15:00,18.38,50.66
2405,2015-01-05 08:36:00,18.06,49.87
2406,2015-01-05 08:46:00,18.06,50.66
2407,2015-01-05 08:56:00,17.74,50.66
2408,2015-01-05 09:07:00,17.74,50.34
2409,2015-01-05 09:27:00,17.41,50.34
2410,2015-01-05 09:37:00,17.09,50.18
2411,2015-01-05 09:58:00,16.77,50.34
2412,2015-01-05 10:08:00,16.77,50.97
2414,2015-01-05 10:29:00,16.45,50.81
2415,2015-01-05 10:39:00,16.45,51.13
2416,2015-01-05 10:49:00,16.45,52.23
2417,2015-01-05 11:00:00,16.45,54.28
2418,2015-01-05 11:10:00,16.45,55.39
2419,2015-01-05 11:20:00,16.12,56.17
2420,2015-01-05 11:30:00,16.12,56.96
2422,2015-01-05 11:51:00,16.12,59.8
2423,2015-01-05 12:01:00,16.12,60.75
2424,2015-01-05 12:11:00,16.12,61.38
2425,2015-01-05 12:22:00,16.45,61.69
2426,2015-01-05 12:32:00,,62.48
2427,2015-01-05 12:42:00,16.77,62.64
2428,2015-01-05 12:53:00,16.77,63.11
2429,2015-01-05 13:03:00,16.77,64.37
2430,2015-01-05 13:13:00,17.09,64.21
2431,2015-01-05 13:23:00,17.09,64.53
2432,2015-01-05 13:34:00,17.09,64.69
2433,2015-01-05 13:44:00,16.77,64.69
2434,2015-01-05 13:54:00,16.77,65.63
2435,2015-01-05 14:15:00,16.77,65.0
2436,2015-01-05 14:25:00,16.77,65.16
2437,2015-01-05 14:35:00,16.77,65.32
2438,2015-01-05 14:45:00,16.45,65.48
2440,2015-01-05 15:06:00,15.8,68.0
2441,2015-01-05 15:16:00,15.8,68.16
2442,2015-01-05 15:27:00,16.12,68.79
2443,2015-01-05 15:37:00,16.45,68.0
2444,2015-01-05 15:47:00,16.45,66.9
2446,2015-01-05 16:08:00,17.09,64.85
2447,2015-01-05 16:18:00,17.09,63.9
2448,2015-01-05 16:28:00,16.77,61.38
2449,2015-01-05 16:38:00,16.77,60.75
2450,2015-01-05 16:49:00,16.77,60.27
2452,2015-01-05 17:09:00,16.45,60.9
2453,2015-01-05 17:19:00,16.45,
2454,2015-01-05 17:30:00,16.45,60.9
2455,2015-01-05 17:40:00,16.45,60.43
2456,2015-01-05 17:50:00,16.45,
2457,2015-01-05 18:01:00,16.12,61.85
2459,2015-01-05 18:21:00,16.45,60.59
2460,2015-01-05 18:31:00,16.45,60.59
2461,2015-01-05 18:42:00,16.12,62.32
2462,2015-01-05 18:52:00,15.8,62.8
2463,2015-01-05 19:02:00,15.8,63.43
2464,2015-01-05 19:12:00,15.8,63.74
2465,2015-01-05 19:23:00,15.8,63.74
2467,2015-01-05 19:43:00,16.45,63.27
2468,2015-01-05 19:53:00,16.45,63.43
2469,2015-01-05 20:04:00,16.77,64.21
2470,2015-01-05 20:14:00,18.06,60.43
2471,2015-01-05 20:24:00,18.38,60.43
2473,2015-01-05 20:45:00,18.7,56.8
2474,2015-01-05 20:55:00,19.35,57.28
2475,2015-01-05 21:05:00,21.29,53.65
2476,2015-01-05 21:16:00,19.03,55.07
2477,2015-01-05 21:26:00,19.03,54.91
2479,2015-01-05 21:46:00,,53.81
2480,2015-01-05 21:57:00,20.64,53.97
2481,2015-01-05 22:07:00,20.64,51.13
2482,2015-01-05 22:17:00,20.0,52.07
