ID,timestamp,temperature,humidity
3334,2014-12-20 23:36:00,24.83,40.88
3335,2014-12-20 23:46:00,25.8,38.36
3336,2014-12-20 23:56:00,27.41,35.99
3337,2014-12-21 00:06:00,27.74,35.68
3338,2014-12-21 00:17:00,28.7,34.73
3339,2014-12-21 00:27:00,27.74,35.36
3340,2014-12-21 00:37:00,28.06,38.83
3341,2014-12-21 00:47:00,27.74,39.3
3342,2014-12-21 00:58:00,28.06,40.25
3343,2014-12-21 01:08:00,28.38,39.46
3344,2014-12-21 01:18:00,29.35,36.94
3345,2014-12-21 01:28:00,30.32,35.84
3346,2014-12-21 01:39:00,30.96,33.79
3347,2014-12-21 01:49:00,31.29,32.84
3348,2014-12-21 01:59:00,31.29,32.52
3349,2014-12-21 02:10:00,31.29,35.52
3350,2014-12-21 02:20:00,30.96,36.31
3351,2014-12-21 02:30:00,31.61,35.68
3352,2014-12-21 02:40:00,32.25,31.11
3353,2014-12-21 02:51:00,32.9,28.74
3354,2014-12-21 03:01:00,33.22,27.64
3355,2014-12-21 03:11:00,33.54,25.74
3356,2014-12-21 03:21:00,34.19,26.53
3357,2014-12-21 03:32:00,34.19,25.27
3358,2014-12-21 03:42:00,34.83,24.01
3359,2014-12-21 03:52:00,34.19,23.222
3360,2014-12-21 04:02:00,35.16,21.17
3361,2014-12-21 04:13:00,35.16,21.01
3362,2014-12-21 04:23:00,32.9,24.01
3363,2014-12-21 04:33:00,34.83,23.544
3364,2014-12-21 04:44:00,35.8,21.49
3365,2014-12-21 04:54:00,34.51,24.01
3366,2014-12-21 05:04:00,32.9,23.85
3367,2014-12-21 05:14:00,32.25,26.06
3368,2014-12-21 05:25:00,32.9,24.8
3369,2014-12-21 05:35:00,32.9,24.17
3371,2014-12-21 05:55:00,33.54,25.747
3373,2014-12-21 06:16:00,,29.377
3374,2014-12-21 06:26:00,29.03,33.947
3375,2014-12-21 06:36:00,27.74,38.047
3376,2014-12-21 06:47:00,27.41,39.937
3377,2014-12-21 06:57:00,27.09,42.937
3378,2014-12-21 07:07:00,27.41,43.887
3379,2014-12-21 07:18:00,27.74,43.887
3380,2014-12-21 07:28:00,28.06,39.787
3381,2014-12-21 07:38:00,29.67,33.637
3383,2014-12-21 07:59:00,28.7,37.737
3384,2014-12-21 08:09:00,27.09,42.937
3385,2014-12-21 08:19:00,27.09,
3386,2014-12-21 08:29:00,26.77,43.407
3388,2014-12-21 08:50:00,26.45,39.627
3389,2014-12-21 09:00:00,26.77,36.477
3390,2014-12-21 09:10:00,26.45,35.367
3391,2014-12-21 09:21:00,25.8,36.317
3392,2014-12-21 09:31:00,26.12,33.797
3393,2014-12-21 09:41:00,25.8,35.057
3395,2014-12-21 10:02:00,25.16,36.947
3396,2014-12-21 10:12:00,24.51,45.457
3397,2014-12-21 10:22:00,23.22,50.507
3398,2014-12-21 10:33:00,22.58,52.397
3399,2014-12-21 10:43:00,22.25,52.557
3400,2014-12-21 10:53:00,22.25,53.027
3401,2014-12-21 11:03:00,22.25,51.447
3402,2014-12-21 11:14:00,22.25,49.397
3403,2014-12-21 11:24:00,22.25,46.087
3404,2014-12-21 11:34:00,21.61,53.347
3405,2014-12-21 11:44:00,20.64,58.857
3406,2014-12-21 11:55:00,20.32,59.967
3407,2014-12-21 12:05:00,20.0,60.907
3408,2014-12-21 12:15:00,20.0,61.387
3410,2014-12-21 12:36:00,20.0,61.537
3411,2014-12-21 12:46:00,19.67,
3412,2014-12-21 12:56:00,19.67,62.017
3413,2014-12-21 13:07:00,19.35,62.957
