ID,timestamp,temperature,humidity,timediff
2622,2014-12-09 00:01:00,23.87,36.15,0
2623,2014-12-09 00:11:00,23.54,36.62,10
2624,2014-12-09 00:21:00,23.54,36.15,10
2626,2014-12-09 00:42:00,23.54,36.31,10
2627,2014-12-09 00:52:00,23.54,36.15,10
2628,2014-12-09 01:02:00,23.54,36.15,10
2629,2014-12-09 01:13:00,23.54,36.47,11
2630,2014-12-09 01:23:00,23.54,36.62,10
2631,2014-12-09 01:33:00,23.54,36.62,10
2632,2014-12-09 01:43:00,23.54,36.31,10
2633,2014-12-09 01:54:00,23.22,36.78,11
2634,2014-12-09 02:04:00,23.54,36.62,10
2635,2014-12-09 02:14:00,23.54,36.47,10
2636,2014-12-09 02:25:00,23.22,36.62,11
2637,2014-12-09 02:35:00,23.22,36.62,10
2639,2014-12-09 02:55:00,22.9,37.1,10
2640,2014-12-09 03:06:00,22.9,36.94,11
2641,2014-12-09 03:16:00,22.58,37.1,10
2642,2014-12-09 03:26:00,22.58,37.41,10
2643,2014-12-09 03:36:00,22.58,37.73,10
2644,2014-12-09 03:47:00,22.58,37.41,11
2646,2014-12-09 04:07:00,22.58,37.73,10
2647,2014-12-09 04:17:00,22.9,37.57,10
2649,2014-12-09 04:38:00,23.22,37.57,10
2650,2014-12-09 04:48:00,23.22,37.25,10
2651,2014-12-09 04:58:00,22.9,37.41,10
2652,2014-12-09 05:09:00,22.9,37.41,11
2653,2014-12-09 05:19:00,22.9,37.88,10
2654,2014-12-09 05:29:00,22.9,37.41,10
2655,2014-12-09 05:39:00,22.58,37.88,10
2656,2014-12-09 05:50:00,22.58,37.73,11
2657,2014-12-09 06:00:00,22.58,38.36,10
2658,2014-12-09 06:10:00,22.58,38.36,10
2659,2014-12-09 06:21:00,22.58,38.52,11
2660,2014-12-09 06:31:00,22.25,38.52,10
2661,2014-12-09 06:41:00,22.9,38.52,10
2662,2014-12-09 06:51:00,22.58,38.67,10
2663,2014-12-09 07:02:00,22.9,38.67,11
2664,2014-12-09 07:12:00,22.58,38.52,10
2665,2014-12-09 07:22:00,22.58,,10
2666,2014-12-09 07:32:00,22.58,38.83,10
2667,2014-12-09 07:43:00,22.25,38.83,11
2668,2014-12-09 07:53:00,22.25,38.83,10
2669,2014-12-09 08:03:00,22.58,38.36,10
2670,2014-12-09 08:13:00,22.9,37.73,10
2672,2014-12-09 08:34:00,23.22,37.41,10
2673,2014-12-09 08:44:00,23.22,37.57,10
2675,2014-12-09 09:05:00,23.22,37.1,11
2676,2014-12-09 09:15:00,23.22,37.25,10
2677,2014-12-09 09:25:00,23.22,37.25,10
2678,2014-12-09 09:36:00,23.22,36.94,11
2679,2014-12-09 09:46:00,23.22,37.41,10
2680,2014-12-09 09:56:00,23.22,37.25,10
2681,2014-12-09 10:06:00,23.22,37.57,10
2682,2014-12-09 10:17:00,23.22,36.94,11
2683,2014-12-09 10:27:00,22.9,37.25,10
2684,2014-12-09 10:37:00,22.9,37.57,10
2685,2014-12-09 10:47:00,22.9,37.57,10
2686,2014-12-09 10:58:00,22.9,37.25,11
2688,2014-12-09 11:18:00,22.9,37.25,10
2689,2014-12-09 11:28:00,22.9,37.25,10
2690,2014-12-09 11:39:00,22.58,37.41,11
2691,2014-12-09 11:49:00,22.58,37.1,10
2692,2014-12-09 11:59:00,22.58,37.25,10
2693,2014-12-09 12:09:00,22.58,37.41,10
2694,2014-12-09 12:20:00,22.58,37.57,11
